,交易日期,账户可用资金,持仓市值,印花税,券商佣金,总资产,净值,手续费,涨跌幅,杠杆,实际杠杆,净值max2here,净值dd2here
1927,2021-12-01,6279572.9353496265,206285182.0,32854.887,7827.17376,212564754.9353496,21.25647549353496,40682.06076,0.018565777705407793,1.0,0.9704580708252433,21.34406519369316,-0.004103702802785825
1928,2021-12-02,6746470.090109628,203105568.0,31510.931000000004,7501.91424,209852038.09010962,20.98520380901096,39012.84524,-0.012761837427211487,1.0,0.9678513006044158,21.34406519369316,-0.016813169441978526
1929,2021-12-03,6582200.485989628,204390893.0,30285.0,7283.60412,210973093.48598963,21.097309348598962,37568.60412,0.005342122983807318,1.0,0.9688007585364115,21.34406519369316,-0.011560864477077826
1930,2021-12-06,6457681.821429627,201251119.0,24769.684999999998,5955.97956,207708800.82142964,20.770880082142963,30725.664559999997,-0.01547255439365669,1.0,0.9689099268018913,21.34406519369316,-0.02685454276627519
1931,2021-12-07,6438692.655589626,201310630.0,22724.410000000003,5452.75584,207749322.65558964,20.774932265558963,28177.16584,0.00019508963510328492,1.0,0.9690073951949109,21.34406519369316,-0.02666469217412104
1932,2021-12-08,6773366.294789623,204108587.0,26747.981,6375.379800000001,210881953.2947896,21.08819532947896,33123.3608,0.01507889700508569,1.0,0.9678807684158672,21.34406519369316,-0.011987869316001043
1933,2021-12-09,6600678.885349616,206143610.0,19835.193999999996,4778.21544,212744288.88534963,21.274428888534963,24613.409439999996,0.008831175742936681,1.0,0.9689736494458527,21.34406519369316,-0.0032625605537774938
1934,2021-12-10,6265689.583829619,210076257.0,18680.554000000004,4520.74752,216341946.5838296,21.63419465838296,23201.301520000005,0.01691071340776995,1.0,0.9710380271474458,21.63419465838296,0.0
1935,2021-12-13,5793394.479589616,211158379.0,27231.038,6588.06624,216951773.4795896,21.69517734795896,33819.10424,0.002818810246415726,1.0,0.9732963949237564,21.69517734795896,0.0
1936,2021-12-14,6142146.442829614,214424213.0,32282.004,7701.03276,220566359.4428296,22.05663594428296,39983.03676,0.01666078089737333,1.0,0.972152841175122,22.05663594428296,0.0
1937,2021-12-15,6798248.224349612,216310286.0,33085.373999999996,7856.84448,223108534.22434962,22.310853422434963,40942.218479999996,0.011525668682848211,1.0,0.969529412005757,22.310853422434963,0.0
1938,2021-12-16,6583470.263389608,219530668.0,32407.267999999996,7798.69296,226114138.26338962,22.61141382633896,40205.96096,0.013471488437182044,1.0,0.9708843050949745,22.61141382633896,0.0
1939,2021-12-17,7072450.582309608,217052840.0,29251.373999999996,6957.3070800000005,224125290.5823096,22.41252905823096,36208.681079999995,-0.008795768793383951,1.0,0.9684442100936741,22.61141382633896,-0.008795768793383951
1940,2021-12-20,6878050.498165604,214970082.87,32457.570999999996,7808.313144,221848133.3681656,22.18481333681656,40265.884143999996,-0.010160197486984157,1.0,0.9689965816085944,22.61141382633896,-0.01886659953237746
1941,2021-12-21,6618080.443165604,220757567.51,27987.118000000002,6743.937,227375647.9531656,22.73756479531656,34731.055,0.024915758816987044,1.0,0.9708936269000593,22.73756479531656,0.0
